strength,word
-1,attacks
3,attentive
1,attract
1,attracted
2,attracting
2,attraction
2,attractions
3,attractive
3,attractively
1,attracts
3,attune
3,audacious
-3,audaciously
-3,audaciousness
-3,audacity
3,audible
3,audibly
-3,audiciously
3,auspicious
-3,austere
3,authentic
-3,authoritarian
3,authoritative
1,authority
-3,autocrat
-3,autocratic
3,autonomous
3,available
-3,avalanche
-3,avarice
-3,avaricious
-3,avariciously
-3,avenge
3,aver
-3,averse
-3,aversion
-1,avert
-1,averted
-1,averts
2,avid
3,avidly
-1,avoid
-1,avoided
-1,avoids
-1,await
-1,awaited
-1,awaits
3,award
3,awarded
3,awards
3,awe
3,awed
-3,aweful
4,awesome
3,awesomely
3,awesomeness
3,awestruck
-3,awful
-3,awfully
-3,awfulness
-2,awkward
-3,awkwardness
3,awsome
-3,ax
-1,axe
-1,axed
-3,babble
-3,back-logged
-3,back-wood
-3,back-woods
-3,backache
-3,backaches
-3,backaching
-3,backbite
-3,backbiting
3,backbone
1,backed
2,backing
1,backs
-3,backward
-3,backwardness
-3,backwood
-3,backwoods
-3,bad
-3,badass
-3,badly
-3,baffle
-3,baffled
-3,bafflement
-3,baffling
-2,bailout
-3,bait
3,balanced
-3,balk
-2,bamboozle
-2,bamboozled
-2,bamboozles
-2,ban
-3,banal
-3,banalize
-3,bane
-1,banish
-3,banishment
-3,bankrupt
-3,bankster
-2,banned
-3,barbarian
-3,barbaric
-3,barbarically
-3,barbarity
-3,barbarous
-3,barbarously
2,bargain
-3,barren
-2,barrier
-3,baseless
-3,bash
-3,bashed
-3,bashful
-3,bashing
-5,bastard
-5,bastards
-3,battered
-3,battering
-1,battle
-1,battles
-3,batty
-3,bearish
-3,beastly
-2,beaten
3,beatific
-1,beating
3,beauteous
3,beauties
3,beautiful
3,beautifullly
3,beautifully
3,beautify
3,beauty
3,beckon
3,beckoned
3,beckoning
3,beckons
-3,bedlam
-3,bedlamite
-3,befoul
-3,beg
-3,beggar
-3,beggarly
-3,begging
-3,beguile
-3,belabor
-3,belated
-3,beleaguer
-3,belie
3,believable
3,believeable
-2,belittle
-2,belittled
-3,belittling
-3,bellicose
-3,belligerence
-3,belligerent
-3,belligerently
3,beloved
-3,bemoan
-3,bemoaning
-3,bemused
3,benefactor
3,beneficent
3,beneficial
3,beneficially
3,beneficiary
2,benefit
2,benefits
2,benefitted
2,benefitting
3,benevolence
3,benevolent
3,benifits
-3,bent
-3,berate
-2,bereave
-2,bereaved
-3,bereavement
-2,bereaves
